%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1651207310945707401,1111,1651207310944455925,imu_link,-3.53862113953e-05,7.32444238663e-06,5.54551849365e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310957280336,1112,1651207310956326204,imu_link,-3.38663902283e-05,1.31656847e-05,5.41550941467e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310969127400,1113,1651207310968375981,imu_link,-3.46171455383e-05,7.26950883865e-06,5.26535835266e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310975221914,1114,1651207310974420673,imu_link,-3.31064796448e-05,6.52790927887e-06,5.19302940369e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310986690412,1115,1651207310986307150,imu_link,-3.31156349182e-05,1.09866638184e-05,5.48142967224e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207310999052255,1116,1651207310998388531,imu_link,-3.38847007751e-05,8.81679725647e-06,5.6874294281e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311004958748,1117,1651207311004355068,imu_link,-3.46171455383e-05,8.74355316162e-06,5.26810493469e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311017476061,1118,1651207311016531908,imu_link,-3.31156349182e-05,9.50346374512e-06,5.40818519592e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311029476439,1119,1651207311028352642,imu_link,-3.31156349182e-05,9.50346374512e-06,5.40818519592e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311035843061,1120,1651207311034668310,imu_link,-3.5358745575e-05,8.72524166107e-06,5.19852294922e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311047222582,1121,1651207311046367371,imu_link,-3.31064796448e-05,7.99279785156e-06,5.19577636719e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311059559121,1122,1651207311058508202,imu_link,-3.46263008118e-05,8.04773139954e-06,5.47685165405e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311065823252,1123,1651207311064334459,imu_link,-3.16141242981e-05,8.77101993561e-06,5.40635414124e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311079151968,1124,1651207311076431138,imu_link,-3.31247901917e-05,8.04773139954e-06,5.47593612671e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311090117252,1125,1651207311088768891,imu_link,-3.31247901917e-05,6.59199810028e-06,5.54277153015e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
1651207311095239674,1126,1651207311094321873,imu_link,-3.53770561218e-05,7.29697561264e-06,5.40543823242e-05,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11,0.0,0.0,0.0,1.07247080196e-11
